LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
840,United States of America,2087,9-May,5,5,11246.401,10756.359,22002.76
826,United Kingdom,2086,9-May,5,5,1964.579,1871.79,3836.369
840,United States of America,2086,9-May,5,5,11228.513,10738.907,21967.42
826,United Kingdom,2085,9-May,5,5,1962.345,1869.371,3831.716
840,United States of America,2085,9-May,5,5,11206.281,10715.917,21922.198
826,United Kingdom,2084,9-May,5,5,1961.693,1869.124,3830.817
840,United States of America,2084,9-May,5,5,11198.037,10708.789,21906.826
826,United Kingdom,2083,9-May,5,5,1960.611,1868.201,3828.812
840,United States of America,2083,9-May,5,5,11191.588,10703.217,21894.805
826,United Kingdom,2082,9-May,5,5,1958.908,1866.495,3825.403
840,United States of America,2082,9-May,5,5,11186.383,10698.474,21884.857
826,United Kingdom,2081,9-May,5,5,1956.276,1863.792,3820.068
840,United States of America,2081,9-May,5,5,11180.366,10692.297,21872.663
826,United Kingdom,2080,9-May,5,5,1952.199,1859.661,3811.86
840,United States of America,2080,9-May,5,5,11169.038,10679.815,21848.853
826,United Kingdom,2079,9-May,5,5,1949.87,1857.755,3807.625
840,United States of America,2079,9-May,5,5,11171.911,10682.971,21854.882
826,United Kingdom,2078,9-May,5,5,1947.465,1855.557,3803.022
840,United States of America,2078,9-May,5,5,11176.481,10687.755,21864.236
826,United Kingdom,2077,9-May,5,5,1945.013,1853.179,3798.192
840,United States of America,2077,9-May,5,5,11179.562,10690.971,21870.533
826,United Kingdom,2076,9-May,5,5,1942.315,1850.478,3792.793
840,United States of America,2076,9-May,5,5,11177.362,10688.632,21865.994
826,United Kingdom,2075,9-May,5,5,1938.828,1846.916,3785.744
840,United States of America,2075,9-May,5,5,11164.945,10675.275,21840.22
826,United Kingdom,2074,9-May,5,5,1937.569,1846.035,3783.604
840,United States of America,2074,9-May,5,5,11163.126,10674.071,21837.197
826,United Kingdom,2073,9-May,5,5,1936.711,1845.342,3782.053
840,United States of America,2073,9-May,5,5,11160.541,10672.164,21832.705
826,United Kingdom,2072,9-May,5,5,1936.368,1844.984,3781.352
840,United States of America,2072,9-May,5,5,11154.261,10666.499,21820.76
826,United Kingdom,2071,9-May,5,5,1936.353,1844.804,3781.157
840,United States of America,2071,9-May,5,5,11140.907,10653.506,21794.413
826,United Kingdom,2070,9-May,5,5,1936.012,1844.2,3780.212
840,United States of America,2070,9-May,5,5,11115.982,10628.295,21744.277
826,United Kingdom,2069,9-May,5,5,1938.334,1846.715,3785.049
840,United States of America,2069,9-May,5,5,11100.471,10613.8,21714.271
826,United Kingdom,2068,9-May,5,5,1941.363,1849.721,3791.084
840,United States of America,2068,9-May,5,5,11084.272,10598.752,21683.024
826,United Kingdom,2067,9-May,5,5,1944.822,1852.963,3797.785
840,United States of America,2067,9-May,5,5,11063.709,10579.517,21643.226
826,United Kingdom,2066,9-May,5,5,1948.3,1856.094,3804.394
840,United States of America,2066,9-May,5,5,11035.203,10552.236,21587.439
826,United Kingdom,2065,9-May,5,5,1951.127,1858.527,3809.654
840,United States of America,2065,9-May,5,5,10994.832,10512.265,21507.097
826,United Kingdom,2064,9-May,5,5,1955.914,1863.357,3819.271
840,United States of America,2064,9-May,5,5,10961.332,10480.982,21442.314
826,United Kingdom,2063,9-May,5,5,1961.017,1868.298,3829.315
840,United States of America,2063,9-May,5,5,10927.412,10449.35,21376.762
826,United Kingdom,2062,9-May,5,5,1966.297,1873.269,3839.566
840,United States of America,2062,9-May,5,5,10893.418,10417.317,21310.735
826,United Kingdom,2061,9-May,5,5,1971.389,1877.969,3849.358
840,United States of America,2061,9-May,5,5,10858.438,10383.605,21242.043
826,United Kingdom,2060,9-May,5,5,1975.522,1881.688,3857.21
840,United States of America,2060,9-May,5,5,10819.168,10344.479,21163.647
826,United Kingdom,2059,9-May,5,5,1981.145,1887.303,3868.448
840,United States of America,2059,9-May,5,5,10789.379,10317.034,21106.413
826,United Kingdom,2058,9-May,5,5,1986.836,1892.799,3879.635
840,United States of America,2058,9-May,5,5,10763.323,10293.051,21056.374
826,United Kingdom,2057,9-May,5,5,1991.673,1897.363,3889.036
840,United States of America,2057,9-May,5,5,10741.754,10272.965,21014.719
826,United Kingdom,2056,9-May,5,5,1994.789,1900.203,3894.992
840,United States of America,2056,9-May,5,5,10723.544,10255.338,20978.882
826,United Kingdom,2055,9-May,5,5,1995.331,1900.502,3895.833
840,United States of America,2055,9-May,5,5,10704.484,10235.542,20940.026
826,United Kingdom,2054,9-May,5,5,1996.581,1901.941,3898.522
840,United States of America,2054,9-May,5,5,10696.077,10228.89,20924.967
826,United Kingdom,2053,9-May,5,5,1997.371,1902.794,3900.165
840,United States of America,2053,9-May,5,5,10693.749,10227.688,20921.437
826,United Kingdom,2052,9-May,5,5,1996.36,1901.825,3898.185
840,United States of America,2052,9-May,5,5,10695.556,10229.97,20925.526
826,United Kingdom,2051,9-May,5,5,1992.522,1898.063,3890.585
840,United States of America,2051,9-May,5,5,10698.346,10232.435,20930.781
826,United Kingdom,2050,9-May,5,5,1985.234,1890.89,3876.124
840,United States of America,2050,9-May,5,5,10696.967,10229.516,20926.483
826,United Kingdom,2050,14-Oct,10,5,1952.336,1860.126,3812.462
840,United States of America,2050,14-Oct,10,5,10786.939,10323.951,21110.89
826,United Kingdom,2051,14-Oct,10,5,1964.452,1872.024,3836.476
840,United States of America,2051,14-Oct,10,5,10804.411,10345.067,21149.478
826,United Kingdom,2052,14-Oct,10,5,1975.199,1882.448,3857.647
840,United States of America,2052,14-Oct,10,5,10808.511,10351.319,21159.83
826,United Kingdom,2053,14-Oct,10,5,1984.037,1890.867,3874.904
840,United States of America,2053,14-Oct,10,5,10798.918,10341.806,21140.724
826,United Kingdom,2054,14-Oct,10,5,1990.235,1896.563,3886.798
840,United States of America,2054,14-Oct,10,5,10777.479,10318.263,21095.742
