column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
840,United States of America,1991,9-May,5,5,9392.883,8977.698,18370.581
826,United Kingdom,1990,9-May,5,5,1848.635,1765.324,3613.959
840,United States of America,1990,9-May,5,5,9211.947,8798.684,18010.631
826,United Kingdom,1989,9-May,5,5,1807.448,1724.092,3531.54
840,United States of America,1989,9-May,5,5,9082.462,8668.418,17750.88
826,United Kingdom,1988,9-May,5,5,1763.202,1680.02,3443.222
840,United States of America,1988,9-May,5,5,8958.287,8523.594,17481.881
826,United Kingdom,1987,9-May,5,5,1730.488,1646.855,3377.343
840,United States of America,1987,9-May,5,5,8847.588,8380.855,17228.443
826,United Kingdom,1986,9-May,5,5,1718.86,1633.542,3352.402
840,United States of America,1986,9-May,5,5,8755.328,8253.799,17009.127
826,United Kingdom,1985,9-May,5,5,1730.136,1641.867,3372.003
840,United States of America,1985,9-May,5,5,8682.843,8150.306,16833.149
826,United Kingdom,1984,9-May,5,5,1756.341,1665.932,3422.273
840,United States of America,1984,9-May,5,5,8644.206,8116.166,16760.372
826,United Kingdom,1983,9-May,5,5,1794.566,1701.211,3495.777
840,United States of America,1983,9-May,5,5,8611.805,8101.228,16713.033
826,United Kingdom,1982,9-May,5,5,1846.028,1748.907,3594.935
840,United States of America,1982,9-May,5,5,8602.346,8103.169,16705.515
826,United Kingdom,1981,9-May,5,5,1909.938,1808.298,3718.236
840,United States of America,1981,9-May,5,5,8627.212,8119.563,16746.775
826,United Kingdom,1980,9-May,5,5,1983.408,1876.534,3859.942
840,United States of America,1980,9-May,5,5,8690.319,8150.446,16840.765
826,United Kingdom,1979,9-May,5,5,2067.59,1956.459,4024.049
840,United States of America,1979,9-May,5,5,8753.371,8221.563,16974.934
826,United Kingdom,1978,9-May,5,5,2154.085,2039.566,4193.651
840,United States of America,1978,9-May,5,5,8794.683,8290.491,17085.174
826,United Kingdom,1977,9-May,5,5,2234.14,2116.984,4351.124
840,United States of America,1977,9-May,5,5,8847.582,8387.375,17234.957
826,United Kingdom,1976,9-May,5,5,2301.478,2182.355,4483.833
840,United States of America,1976,9-May,5,5,8934.858,8531.579,17466.437
826,United Kingdom,1975,9-May,5,5,2353.136,2232.527,4585.663
840,United States of America,1975,9-May,5,5,9063.026,8724.133,17787.159
826,United Kingdom,1974,9-May,5,5,2402.074,2284.745,4686.819
840,United States of America,1974,9-May,5,5,9340.641,8963.359,18304
826,United Kingdom,1973,9-May,5,5,2441.289,2329.003,4770.292
840,United States of America,1973,9-May,5,5,9648.65,9231.163,18879.813
826,United Kingdom,1972,9-May,5,5,2458.619,2351.247,4809.866
840,United States of America,1972,9-May,5,5,9941.633,9488.944,19430.577
826,United Kingdom,1971,9-May,5,5,2447.836,2343.231,4791.067
840,United States of America,1971,9-May,5,5,10187.497,9707.515,19895.012
826,United Kingdom,1970,9-May,5,5,2411.076,2305.218,4716.294
840,United States of America,1970,9-May,5,5,10375.283,9874.288,20249.571
826,United Kingdom,1969,9-May,5,5,2361.986,2248.758,4610.744
840,United States of America,1969,9-May,5,5,10502.264,10012.337,20514.601
826,United Kingdom,1968,9-May,5,5,2297.26,2175.898,4473.158
840,United States of America,1968,9-May,5,5,10614.861,10136.323,20751.184
826,United Kingdom,1967,9-May,5,5,2227.569,2100.338,4327.907
840,United States of America,1967,9-May,5,5,10687.215,10218.49,20905.705
826,United Kingdom,1966,9-May,5,5,2160.749,2031.939,4192.688
840,United States of America,1966,9-May,5,5,10701.666,10240.968,20942.634
826,United Kingdom,1965,9-May,5,5,2100.941,1974.744,4075.685
840,United States of America,1965,9-May,5,5,10653.888,10200.458,20854.346
826,United Kingdom,1964,9-May,5,5,2034.176,1914.649,3948.825
840,United States of America,1964,9-May,5,5,10561.617,10109.56,20671.177
826,United Kingdom,1963,9-May,5,5,1962.119,1852.291,3814.41
840,United States of America,1963,9-May,5,5,10399.683,9959.82,20359.503
826,United Kingdom,1962,9-May,5,5,1911.826,1811.038,3722.864
840,United States of America,1962,9-May,5,5,10208.722,9785.619,19994.341
826,United Kingdom,1961,9-May,5,5,1899.993,1804.714,3704.707
840,United States of America,1961,9-May,5,5,10019.748,9611.555,19631.303
826,United Kingdom,1960,9-May,5,5,1927.296,1832.944,3760.24
840,United States of America,1960,9-May,5,5,9844.448,9444.156,19288.604
826,United Kingdom,1959,9-May,5,5,1997.728,1899.975,3897.703
