LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
826,United Kingdom,2022,9-May,5,5,2096.487,1999.024,4095.511
840,United States of America,2022,9-May,5,5,10109.076,9671.644,19780.72
826,United Kingdom,2021,9-May,5,5,2109.63,2011.679,4121.309
840,United States of America,2021,9-May,5,5,10165.703,9723.765,19889.468
826,United Kingdom,2020,9-May,5,5,2108.55,2011.016,4119.566
840,United States of America,2020,9-May,5,5,10246.393,9798.759,20045.152
826,United Kingdom,2019,9-May,5,5,2105.263,2008.974,4114.237
840,United States of America,2019,9-May,5,5,10371.128,9916.621,20287.749
826,United Kingdom,2018,9-May,5,5,2098.174,2003.503,4101.677
840,United States of America,2018,9-May,5,5,10522.737,10060.686,20583.423
826,United Kingdom,2017,9-May,5,5,2081.342,1988.478,4069.82
840,United States of America,2017,9-May,5,5,10652.303,10184.245,20836.548
826,United Kingdom,2016,9-May,5,5,2051.716,1960.65,4012.366
840,United States of America,2016,9-May,5,5,10726.62,10255.612,20982.232
826,United Kingdom,2015,9-May,5,5,2009.909,1920.392,3930.301
840,United States of America,2015,9-May,5,5,10736.532,10265.653,21002.185
826,United Kingdom,2014,9-May,5,5,1957.567,1869.984,3827.551
840,United States of America,2014,9-May,5,5,10718.268,10247.402,20965.67
826,United Kingdom,2013,9-May,5,5,1899.04,1813.488,3712.528
840,United States of America,2013,9-May,5,5,10673.803,10204.62,20878.423
826,United Kingdom,2012,9-May,5,5,1849.145,1765.113,3614.258
840,United States of America,2012,9-May,5,5,10624.912,10158.036,20782.948
826,United Kingdom,2011,9-May,5,5,1816.596,1733.114,3549.71
840,United States of America,2011,9-May,5,5,10586.163,10120.438,20706.601
826,United Kingdom,2010,9-May,5,5,1801.521,1717.424,3518.945
840,United States of America,2010,9-May,5,5,10560.883,10093.069,20653.952
826,United Kingdom,2009,9-May,5,5,1796.347,1712.381,3508.728
840,United States of America,2009,9-May,5,5,10466.077,10005.89,20471.967
826,United Kingdom,2008,9-May,5,5,1796.475,1713.151,3509.626
840,United States of America,2008,9-May,5,5,10318.543,9867.382,20185.925
826,United Kingdom,2007,9-May,5,5,1800.683,1717.829,3518.512
840,United States of America,2007,9-May,5,5,10183.281,9738.068,19921.349
826,United Kingdom,2006,9-May,5,5,1808.508,1725.443,3533.951
840,United States of America,2006,9-May,5,5,10106.385,9661.759,19768.144
826,United Kingdom,2005,9-May,5,5,1820.169,1735.855,3556.024
840,United States of America,2005,9-May,5,5,10104.445,9656.077,19760.522
826,United Kingdom,2004,9-May,5,5,1844.592,1757.112,3601.704
840,United States of America,2004,9-May,5,5,10260.67,9798.304,20058.974
826,United Kingdom,2003,9-May,5,5,1874.553,1784.428,3658.981
840,United States of America,2003,9-May,5,5,10451.098,9972.216,20423.314
826,United Kingdom,2002,9-May,5,5,1905.119,1812.863,3717.982
840,United States of America,2002,9-May,5,5,10609.797,10116.941,20726.738
826,United Kingdom,2001,9-May,5,5,1931.952,1838.035,3769.987
840,United States of America,2001,9-May,5,5,10688.069,10188.512,20876.581
826,United Kingdom,2000,9-May,5,5,1952.295,1857.29,3809.585
840,United States of America,2000,9-May,5,5,10671.51,10176.5,20848.01
826,United Kingdom,2000,14-Oct,10,5,1974.429,1879.848,3854.277
840,United States of America,2000,14-Oct,10,5,10607.728,10119.062,20726.79
826,United Kingdom,2001,14-Oct,10,5,1991.507,1892,3883.507
840,United States of America,2001,14-Oct,10,5,10775.625,10259.795,21035.42
826,United Kingdom,2002,14-Oct,10,5,1995.869,1892.598,3888.467
840,United States of America,2002,14-Oct,10,5,10911.833,10372.927,21284.76
826,United Kingdom,2003,14-Oct,10,5,1990.955,1885.744,3876.699
840,United States of America,2003,14-Oct,10,5,11014.038,10462.503,21476.541
826,United Kingdom,2004,14-Oct,10,5,1979.956,1874.621,3854.577
840,United States of America,2004,14-Oct,10,5,11068.809,10516.884,21585.693
826,United Kingdom,2005,14-Oct,10,5,1964.176,1860.142,3824.318
840,United States of America,2005,14-Oct,10,5,11054.862,10512.572,21567.434
826,United Kingdom,2006,14-Oct,10,5,1951.017,1853.276,3804.293
840,United States of America,2006,14-Oct,10,5,10974.242,10442.145,21416.387
826,United Kingdom,2007,14-Oct,10,5,1935.852,1841.99,3777.842
840,United States of America,2007,14-Oct,10,5,10877.529,10353.634,21231.163
826,United Kingdom,2008,14-Oct,10,5,1920.255,1829.092,3749.347
840,United States of America,2008,14-Oct,10,5,10778.443,10265.377,21043.82
826,United Kingdom,2009,14-Oct,10,5,1904.372,1814.935,3719.307
840,United States of America,2009,14-Oct,10,5,10708.093,10207.016,20915.109
826,United Kingdom,2010,14-Oct,10,5,1887.3,1798.283,3685.583
840,United States of America,2010,14-Oct,10,5,10692.048,10198.921,20890.969
826,United Kingdom,2011,14-Oct,10,5,1871.008,1784.735,3655.743
840,United States of America,2011,14-Oct,10,5,10647.583,10176.613,20824.196
826,United Kingdom,2012,14-Oct,10,5,1850.891,1766.576,3617.467
840,United States of America,2012,14-Oct,10,5,10625.713,10165.327,20791.04
826,United Kingdom,2013,14-Oct,10,5,1829.149,1745.978,3575.127
